<Kriegstetten, isCapitalOf, Switzerland>
<Rodersdorf, isCapitalOf, Switzerland>
<Diet, isCapitalOf, Switzerland>
<Murree, isCapitalOf, Rawalpindi>
<Mallorca, isCapitalOf, Balearic Islands>
<Gladiator, isCapitalOf, Rome>
<Sea, isCapitalOf, U.S. state>
<Bettwiesen, isCapitalOf, Thurgau>
<Pforzheim, isCapitalOf, German>
<Siegen, isCapitalOf, German>
<Horus, isCapitalOf, Egypt>
<Oldenburg, isCapitalOf, Germany>
<Montfavergier, isCapitalOf, Switzerland>
<River, isCapitalOf, Kauai>
<Harare, isCapitalOf, Zimbabwe>
<Forcalquier, isCapitalOf, France>
<Antananarivo, isCapitalOf, Madagascar>
<Risch-Rotkreuz, isCapitalOf, Zug>
<Akrotiri and Dhekelia, isCapitalOf, Cyprus>
<Paramaribo, isCapitalOf, Suriname>
<Lage, isCapitalOf, Lip>
<Pun, isCapitalOf, Attock District>
<Ennetbürgen, isCapitalOf, Nidwalden>
<Angers, isCapitalOf, France>
<Rhône, isCapitalOf, France>
<Raron, isCapitalOf, Valais>
<Leeuwarden, isCapitalOf, Netherlands>
<June, isCapitalOf, U.S. state>
<Province, isCapitalOf, Swat District>
<Eindhoven, isCapitalOf, Netherlands>
<Two, isCapitalOf, August>
<Sanghar, isCapitalOf, Sindh>
<Tunis, isCapitalOf, Tunisia>
<Termen, isCapitalOf, Valais>
<Manisa, isCapitalOf, Turkey>
<Gordevio, isCapitalOf, Ticino>
<Iragna, isCapitalOf, Ticino>
<Neunkirch, isCapitalOf, Schaffhausen>
<Wegenstetten, isCapitalOf, Aargau>
<Schneisingen, isCapitalOf, Aargau>
<Ried-Brig, isCapitalOf, Valais>
<Biberist, isCapitalOf, Switzerland>
<Toul, isCapitalOf, Northeast>
<Nakhodka, isCapitalOf, Japan>
<Plymouth, isCapitalOf, Washington>
<Murten, isCapitalOf, Fribourg>
<Bhopal, isCapitalOf, Madhya Pradesh>
<Oberhallau, isCapitalOf, Schaffhausen>
<Trinity, isCapitalOf, Newfoundland>
<Anzonico, isCapitalOf, Ticino>
<Adlikon bei Andelfingen, isCapitalOf, Switzerland>
<Lommis, isCapitalOf, Thurgau>
<Jeddah, isCapitalOf, West>
<Douala, isCapitalOf, Africa>
<Pterodactylus, isCapitalOf, Germany>
<Pun, isCapitalOf, Talagang Tehsil>
<Aeschi bei Spiez, isCapitalOf, Switzerland>
<Bismarck, isCapitalOf, U.S. state>
<Odysseus, isCapitalOf, Polyphemos>
<Dörflingen, isCapitalOf, Schaffhausen>
<Tallinn, isCapitalOf, Estonia>
<Siblingen, isCapitalOf, Schaffhausen>
<Morbio Superiore, isCapitalOf, Ticino>
<Târgu Jiu, isCapitalOf, Gorj County>
<Herm, isCapitalOf, Oregon>
<Lund, isCapitalOf, Sweden>
<Ennetmoos, isCapitalOf, Nidwalden>
<Breda, isCapitalOf, Netherlands>
<Emmental, isCapitalOf, Switzerland>
<Bissau, isCapitalOf, Guinea-Bissau>
<Adliswil, isCapitalOf, Switzerland>
<Libreville, isCapitalOf, Gabon>
<Province, isCapitalOf, Shangla District>
<Washington, isCapitalOf, American>
<Kiel, isCapitalOf, Bun>
<Manila, isCapitalOf, Philippines>
<Empire, isCapitalOf, Niger>
<Schlossrued, isCapitalOf, Aargau>
<Mount Etna, isCapitalOf, Sicily>
<Lommiswil, isCapitalOf, Switzerland>
<Osogna, isCapitalOf, Ticino>
<Massa, isCapitalOf, Massa>
<Mönchengladbach, isCapitalOf, Germany>
<Oberbuchsiten, isCapitalOf, Switzerland>
<Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch, isCapitalOf, Anglesey>
<Obermumpf, isCapitalOf, Aargau>
<Opfertshofen, isCapitalOf, Schaffhausen>
<Roubaix, isCapitalOf, France>
<Ouagadougou, isCapitalOf, Burkina Faso>
<California, isCapitalOf, United States>
<Moroni, isCapitalOf, Comoros>
<Birrwil, isCapitalOf, Aargau>
<August, isCapitalOf, U.S. state>
<Columbia, isCapitalOf, U.S. state>
<Tor, isCapitalOf, Ticino>
<Ska, isCapitalOf, Ska>
<France, isCapitalOf, France>
<Göttingen, isCapitalOf, Germany>
<Koblenz, isCapitalOf, Aargau>
<Albstadt, isCapitalOf, Baden-Württemberg>
<San Cristóbal Ecatepec, isCapitalOf, Mexico>
<Trieste, isCapitalOf, Italy>
<Dove, isCapitalOf, U.S. state>
<One, isCapitalOf, China>
<Obergösgen, isCapitalOf, Switzerland>
<Reggio Emilia, isCapitalOf, Emilia-Romagna>
<Dodoma, isCapitalOf, Tanzania>
<Doha, isCapitalOf, Qatar>
<City, isCapitalOf, Republic of Ireland>
<Orléans, isCapitalOf, France>
<Schöftland, isCapitalOf, Aargau>
<Cottbus, isCapitalOf, Germany>
<Oviedo, isCapitalOf, North>
<Havana, isCapitalOf, Cuba>
<Aarberg, isCapitalOf, Switzerland>
<Mumpf, isCapitalOf, Aargau>
<Riga, isCapitalOf, Europe>
<Gera, isCapitalOf, Germany>
<Gächlingen, isCapitalOf, Schaffhausen>
<City, isCapitalOf, American>
<Hubersdorf, isCapitalOf, Switzerland>
<Stirling, isCapitalOf, Scotland>
<South, isCapitalOf, American>
<Dhaka, isCapitalOf, Bangladesh>
<Roskilde, isCapitalOf, Denmark>
<Kakul, isCapitalOf, Kakul>
<Ingolstadt, isCapitalOf, German>
<Dürrenäsch, isCapitalOf, Aargau>
<North America, isCapitalOf, Nova Scotia>
<Asmara, isCapitalOf, Eritrea>
<Brisbane, isCapitalOf, Queensland>
<Montauban, isCapitalOf, France>
<Amsoldingen, isCapitalOf, Switzerland>
<Nancy, isCapitalOf, France>
<Trutnov, isCapitalOf, Region>
<Toulouse, isCapitalOf, France>
<Porto-Novo, isCapitalOf, West>
<Balsthal, isCapitalOf, Switzerland>
<Klingnau, isCapitalOf, Aargau>
<Çanakkale, isCapitalOf, Turkey>
<War, isCapitalOf, United States>
<Unterendingen, isCapitalOf, Aargau>
<Chessel, isCapitalOf, Vaud>
<Locarno, isCapitalOf, Locarno>
<Vitré, isCapitalOf, East>
<Can Tho, isCapitalOf, Vietnam>
<Romance, isCapitalOf, Corsica>
<Uezwil, isCapitalOf, Aargau>
<This, isCapitalOf, Vaud>
<Man, isCapitalOf, Egypt>
<Visp, isCapitalOf, Visp>
<Oslo, isCapitalOf, Norway>
<Bucharest, isCapitalOf, Romania>
<Faya-Largeau, isCapitalOf, Chad>
<La Chaux-des-Breuleux, isCapitalOf, Switzerland>
<Raja, isCapitalOf, Indian>
<Truro, isCapitalOf, Cornwall>
<Valence-sur-Baïse, isCapitalOf, Gers>
<Bujumbura, isCapitalOf, Burundi>
<Holziken, isCapitalOf, Aargau>
<Fürth, isCapitalOf, German>
<Nîmes, isCapitalOf, France>
<Chennai, isCapitalOf, Indian>
<Mem, isCapitalOf, Tennessee>
<Wislikofen, isCapitalOf, Aargau>
<Löhningen, isCapitalOf, Schaffhausen>
<Bhiria, isCapitalOf, Naushahro Feroze District>
<Cordoba, isCapitalOf, Cordoba>
<Layyah, isCapitalOf, Pun>
<Sarnen, isCapitalOf, Obwalden>
<This, isCapitalOf, Alberta>
<Unterlunkhofen, isCapitalOf, Aargau>
<Bishkek, isCapitalOf, Kyrgyzstan>
<Hallau, isCapitalOf, Schaffhausen>
<Rostock, isCapitalOf, Germany>
<Bari, isCapitalOf, Bari>
<Meltingen, isCapitalOf, Switzerland>
<Lisbon, isCapitalOf, Portugal>
<Tirana, isCapitalOf, Republic>
<Newport, isCapitalOf, Wales>
<Chang'an, isCapitalOf, China>
<Caracas, isCapitalOf, Venezuela>
<This, isCapitalOf, Japan>
<Erfurt, isCapitalOf, Thuringia>
<Monza, isCapitalOf, Lombardy>
<Bremen, isCapitalOf, Germany>
<Berikon, isCapitalOf, Aargau>
<Porrentruy, isCapitalOf, Switzerland>
